"CO_MUNICIP","CO_REGIONA","SG_UF","CO_MACRORR","CO_MESORRE","CO_MICRORR","CO_UF_IBGE","NO_MUNICIP","SG_MUNICIP","NU_DDD","NU_CEP","DV_MUNICIP","CO_MUNICI2","CO_MUNICI3","CO_SINPAS","CO_REGIAO_","ST_MUNICIP","ST_AMAZONI","ST_FRONTEI","CO_SUCESSO","NO_ANTERIO","ST_COMUNID","ST_SECA","ST_SEMI_AR","ST_PRMI","ST_CALAMID","ST_INDIGEN","NU_DISTANC","ST_CAPITAL","NU_AREA","NU_LATITUD","NU_LONGITU","NU_ALTITUD","ST_REGISTR","NU_IDH","CO_MUNICI4","CO_MUNICI5","CO_MICROR2","ST_PITS","ST_QUILOMB","CO_SEQ_ANT","NO_POPULAR","CO_REGIAO2","CO_AGLOMER","NU_ANO_EXT","NU_ANO_INS","ST_IBGE","CO_MUNICI6","NO_MUNICI2","ST_RIDE","CO_MUNICI7","ST_SUDAM","ST_SUDENE","ST_CADSUS","CO_MUNICI8","CO_TERRITO","ST_PSE","ST_PAN","ST_PACTO_R","CO_MUNICI9","TP_TIPOLOG","CO_GRUPO_P","ST_CNES","CO_REGIAO3","ST_PACTO","ST_CIB_SAS","DT_MANUTEN"
"261080","2606","PE","2606","2603","26007","26","PEDRA","","87","55280000","6","2515","2515","15108","","ATIVO","N","N","","","N","N","S","N","N","N","","N","803.024","-8,49700","-36,94100","593","S","0.567","","","26010","S","N","3638","","2690","2690","","1881","S","2901","PEDRA","N","261080","N","S","S","","2","N","N","N","124","BAIXA RENDA","03","N","138","","",""
"314890","3115","MG","3105","3109","31044","31","PEDRA DO INDAIA","","37","35565000","5","4977","4977","11489","","ATIVO","N","N","","","N","N","N","N","N","N","","N","349.092","-20,25800","-45,20900","837","S","0.708","","","31029","N","N","3646","","3190","3190","","1962","S","1927","PEDRA DO INDAIå","N","314890","N","N","S","","","N","N","N","572","ESTAGNADA","03","N","592","","",""
"240950","2403","RN","2402","2404","24016","24","PEDRA GRANDE","","84","59588000","6","1789","1789","18095","","ATIVO","N","N","","","N","N","S","N","N","N","","N","221.429","-5,15000","-35,87900","25","S","0.559","","","24900","S","N","3648","","2490","2490","","1962","S","3774","PEDRA GRANDE","N","240950","N","S","S","","55","S","N","N","102","BAIXA RENDA","03","N","84","","",""
"314910","3110","MG","3101","3110","31053","31","PEDRALVA","","35","37520000","1","4981","4981","11491","","ATIVO","N","N","","","N","N","N","N","N","N","","N","217.298","-22,24300","-45,46600","911","S","0.675","","","31003","N","N","3653","","3190","3190","","1884","S","1929","PEDRALVA","N","314910","N","N","S","","","N","N","N","574","ESTAGNADA","03","N","630","","",""
"292410","2903","BA","2914","2903","29012","29","PEDRAO","","75","48140000","8","3783","3783","04242","","ATIVO","N","N","","","N","N","N","S","N","N","","N","172.458","-12,15000","-38,65000","230","S","0.588","","","29051","S","N","3655","","2990","2990","","1962","S","495","PEDRÄO","N","292410","N","S","S","","","N","N","N","296","ESTAGNADA","03","N","400","","",""
"210820","2111","MA","2111","2103","21010","21","PEDREIRAS","","99","65725000","7","0861","0861","09081","","ATIVO","S","N","","","N","N","N","N","S","N","","N","288.507","-4,57400","-44,59700","0","S","0.682","","","21900","S","N","3661","","2190","2190","","1889","S","1276","PEDREIRAS","N","210820","S","S","S","","140","N","N","S","138","BAIXA RENDA","03","N","238","","",""
"314920","3113","MG","3112","3105","31023","31","PEDRINOPOLIS","","34","38178000","0","4983","4983","11492","","ATIVO","N","N","","","N","N","N","N","N","N","","N","357.689","-19,22800","-47,46200","918","S","0.729","","","31070","N","N","3664","","3190","3190","","1962","S","1931","PEDRINƒPOLIS","N","314920","N","N","S","","","N","N","N","576","ALTA RENDA","03","N","609","","",""
"171650","1716","TO","1701","1702","17006","17","PEDRO AFONSO","","63","77710000","5","9525","9525","28054","","ATIVO","S","N","","","N","N","N","N","N","N","","N","2010.892","-8,96800","-48,17500","201","S","0.732","","","17900","S","N","3665","","1790","1790","","1989","S","5482","PEDRO AFONSO","N","171650","S","N","S","","","N","N","N","96","ALTA RENDA","03","N","504","","",""
"240970","2403","RN","2402","2402","24009","24","PEDRO AVELINO","","84","59530000","4","1793","1793","18097","","ATIVO","N","N","","","N","N","S","N","N","N","","N","952.688","-5,52200","-36,38800","95","S","0.583","","","24900","S","N","3667","","2490","2490","","1948","S","3776","PEDRO AVELINO","N","240970","N","S","S","","","S","N","N","104","DINÅMICA","03","N","84","","",""
"500640","5002","MS","5008","5002","50003","50","PEDRO GOMES","","67","79410000","8","9127","9127","06064","","ATIVO","N","N","","","S","N","N","N","N","N","","N","3651.171","-18,10100","-54,55200","282","S","0.671","","","50013","N","N","3671","","5090","5090","","1963","S","2267","PEDRO GOMES","N","500640","N","N","S","","","N","N","N","61","ESTAGNADA","03","N","441","","",""
